,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,Utegaliyev Azamat,2563,0,1 - 0,0,,Zarkym Ailin,1224,18
1,2,19,,Smirnov Mark,1195,0,0 - 1,0,IM,Zhalmakhanov Ramazan,2470,2
2,3,5,,Tulendinov Dinmukhammed,1557,0,1 - 0,0,,Dumankyzy Alfarabi,1159,22
3,4,7,,Sharipov Alisher,1467,0,1 - 0,0,,Zhandos Akarys,1150,24
4,5,27,,Kholyavko Mariya,1103,0,0 - 1,0,,Tlepiyev Arman,1408,10
5,6,11,,Mukhametkali Merey,1399,0,1 - 0,0,,Bakytzhan Didar,0,28
6,7,29,,Dairov Daryn,0,0,0 - 1,0,,Tsoy Maxim,1395,12
7,8,13,,Baitleu Syrym,1330,0,1 - 0,0,,Dushatov Timur,0,30
8,9,17,,Kaliakhmet Elsultan,1225,0,1 - 0,0,,Rakhimov Zakir,0,34
9,10,3,WFM,Nurmanova Alua,1914,0,0 - 1,0,,Kuandykuly Danis,1227,16
10,11,20,,Tulebay Yedige,1166,0,0 - 1,0,,Industriyev Vadim,1654,4
11,12,21,,Mukhambetkali Tair,1162,0,0 - 1,0,,Kaliakhmet Elnaz,1521,6
12,13,25,,Kush Agniya,1126,0,1 - 0,0,,Rakhishev Alizhan,1443,9
13,14,8,,Daulet Alikhan,1458,0,1 - 0,0,,Adilzhanuly Nurasyl,1118,26
14,15,31,,Fishman Sofiya,0,0,1 - 0,0,,Aubakirov Alikhan,1295,15
15,16,14,,Dumanuly Sultanbeibarys,1302,0,1 - 0,0,,Madina Dameli,0,32
16,17,33,,Narbayev Adil,0,0,0 - 1,0,,Kabylbek Yedil,1157,23
