,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,18,,Gourilakshmi Nambiar,0,0,0 - 1,0,,Sidharth Sreekumar,1384,1
1,2,2,,Akshay A R,1099,0,½ - ½,0,,K Sai Thanush,0,19
2,3,20,,Mahathi.R,0,0,0 - 1,0,,Mohammed Adhnan A,1098,3
3,4,4,,Gifty RS,1095,0,1 - 0,0,,Manav Rahul,0,21
4,5,22,,Naveen Tency,0,0,0 - 1,0,,Hirenjith S J,1068,5
5,6,6,,Aadhi Shankar S L,0,0,0 - 1,0,,Neellesh Manub,0,23
6,7,24,,Niha Sharon Daniel,0,0,1 - 0,0,,Aadinadh Arun S,0,7
7,8,8,,Aaron J David,0,0,0 - 1,0,,Nimad Nahas,0,25
8,9,26,,Pooja Prasannakumar,0,0,0 - 1,0,,Abin Jose C.J,0,9
9,10,10,,Amanat Farhan S,0,0,1 - 0,0,,Pranav Prasannakumar,0,27
10,11,28,,Pranav Raj P,0,0,0 - 1,0,,Ameya A R,0,11
11,12,12,,Bhamini S Neelamana,0,0,1 - 0,0,,Rizwana S,0,29
12,13,30,,Roshan Sreejesh,0,0,1 - 0,0,,Chaithanya R Pramod,0,13
13,14,14,,Daniel Sunil,0,0,1 - 0,0,,Sahyakailas,0,31
14,15,32,,Samuel Sunil,0,0,0 - 1,0,,Deekshit Maheswaran,0,15
15,16,16,,Eban J. David,0,0,0 - 1,0,,Sanjana Saravanan,0,33
16,17,34,,Vasudev V,0,0,1 - 0,0,,G.Saikrithik,0,17
