,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,"Boyens,Birger",1997,0,0 - 1,0,,"Mrdja, Bozidar",1883,29
1,2,30,,"Philipp,Hans-Joachim",1883,0,1 - 0,0,,"Wiesmann,Dominique",1995,2
2,3,3,,"Ritter,Uwe",1993,0,0 - 1,0,,"Morgenstern,Martin",1882,31
3,4,32,,"Hälsig,Günter,Dr.",1880,0,½ - ½,0,,"Issler,Christian",1992,4
4,5,5,,"Van de Wynkele,Eric",1979,0,1 - 0,0,,"Vossen,Harald",1866,33
5,6,34,,"Moser,Guido",1857,0,½ - ½,0,,"Warsitz,Hubert,Dr.",1977,6
6,7,7,,"Mock,Markus,Prof.",1969,0,- - +,0,,"Knaak,Michael",1855,35
7,8,36,,"Jeute,Peter",1853,0,½ - ½,0,,"Matzat,Andre",1967,8
8,9,9,,"Hartmann,Wolfgang,Dr.",1953,0,½ - ½,0,,"Synnestvedt,Jan",1848,37
9,10,38,,"Tabin,Rene",1847,0,½ - ½,0,,"Huber,Guenther",1952,10
10,11,11,,"Oelmann,Henry",1947,0,1 - 0,0,,"Heesen,Jos",1846,39
11,12,40,,"Schreyer,Klaus",1842,0,0 - 1,0,,"Göldenboog,Jürgen",1943,12
12,13,13,,"Van de Wynkele,Rudy",1939,0,1 - 0,0,,"Giebel,Christine",1840,41
13,14,42,,"Moje,Hans-Jürgen",1839,0,0 - 1,0,,"Wilhelm,Albert",1930,14
14,15,15,,"Schaefer,Martin,Dr.",1929,0,1 - 0,0,,"Breeuwer,Pieter",1838,43
15,16,44,,"Nussbaumer,Josef",1837,0,½ - ½,0,,"Gruber,Gernot",1927,16
16,17,17,,"Meyer,Thomas",1923,0,1 - 0,0,CM,"Faulks,Nick",1836,45
17,18,46,,"Livesey,R Nigel",1835,0,½ - ½,0,,"Gal,Imola-Katalin",1919,18
18,19,19,,"Haas,Bruno",1919,0,½ - ½,0,,"Pazdzior,Johann",1835,47
19,20,48,,"Stehle,Ottmar",1834,0,+ - -,0,,"Steinhauser,Martin, Dr.",1917,20
20,21,21,,"Ludin,Hubert",1916,0,0 - 1,0,,"Visschedijk,Theo",1831,49
21,22,50,,"Gillieron,Jean-Marc",1827,0,½ - ½,0,,"Hahmann,Markus",1913,22
22,23,23,,"Arndt,Olaf",1911,0,1 - 0,0,,"Bernard,Christopher",1818,51
23,24,52,,"Schmidt,Eugen",1815,0,½ - ½,0,,"Nielsen,Michael",1908,24
24,25,25,,"Frühauf,Norbert",1904,0,½ - ½,0,,"De Bruijn,Tjerk-Peter",1811,53
25,26,54,,"Aigner,Georg",1809,0,1 - 0,0,,"Bösch,Heinz",1901,26
26,27,27,,"Hiby,Harald",1891,0,1 - 0,0,,"Krüger,Detlef",1806,55
27,28,56,,"Parker,Keith",1803,0,½ - ½,0,,"Bajec,Tomaz",1885,28
