,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,Utegaliyev Azamat,2536,0,+ - -,0,,Bakytbek Dastan,1127,28
1,2,2,IM,Lortkipanidze Nodar,2450,0,1 - 0,0,,Kaliakhmet Elsultan,1231,20
2,3,21,,Sailau Bekarys,1230,0,0 - 1,0,IM,Zhalmakhanov Ramazan,2410,3
3,4,4,IM,Pak Yevgeniy,2256,0,- - +,0,,Kush Agniya,1225,22
4,5,23,,Amangeldy Ramazan,1224,0,0 - 1,0,WIM,Tereladze Sopiko,2035,5
5,6,6,CM,Mamedov Edgar,1878,0,1 - 0,0,,Khazhimurat Aykhan,1211,24
6,7,26,,Kazhmuratov Altair,1159,0,0 - 1,0,,Daulet Alikhan,1567,7
7,8,8,,Talgatov Nazar,1548,0,1 - 0,0,,Suerkulova Daniya,1135,27
8,9,29,,Sadvakassova Dilaila,1126,0,0 - 1,0,,Khazhatuly Alikhan,1513,9
9,10,10,WCM,Kaliakhmet Elnaz,1512,0,1 - 0,0,,Tulebay Yedige,1121,30
10,11,32,,Borizov Rustam,1063,0,0 - 1,0,,Dumanuly Sultanbeibarys,1449,11
11,12,12,,Tsoy Maxim,1406,0,1 - 0,0,,Agayev Seymur,1052,33
12,13,34,,Abzhappar Makhmut,0,0,0 - 1,0,,Dairov Daryn,1338,13
13,14,14,,Baisart Tamerlan,1310,0,1 - 0,0,,Boldenkov Vladimir,0,35
14,15,36,,Kanatbay Bekzat,0,0,0 - 1,0,,Ikhsan Ersultan,1299,15
15,16,16,,Kabylbek Yedil,1282,0,1 - 0,0,,Nokerbek Rakhat,0,37
16,17,38,,Sadykov Amir,0,0,0 - 1,0,,Kholyavko Mariya,1254,17
17,18,18,,Kalmurzinov Maksut,1251,0,- - +,0,,Tilepbergenov Aidos,0,39
18,19,40,,Tolegenov Nurzhan,0,0,0 - 1,0,,Baitursynov Batyrbek,1247,19
19,20,31,,Bauyrzhan Amir,1111,0,- - +,0,,Zhandos Akarys,1194,25
