,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,29,,"Breeuwer,Pieter",1838,0,0 - 1,0,GM,"Lanka,Zigurds",2386,1
1,2,2,GM,"Hort,Vlastimil",2365,0,1 - 0,0,,"Visschedijk,Theo",1831,30
2,3,31,,"Gillieron,Jean-Marc",1827,0,0 - 1,0,,"Lagerborg,Krister",2164,3
3,4,4,,"Jensen,Jakob Bjerre",2155,0,1 - 0,0,,"Bernard,Christopher",1818,32
4,5,33,,"Aigner,Georg",1809,0,0 - 1,0,,"Hewson,Brian W R",2095,5
5,6,6,,"Schnellenpfeil,Wolfgang,Dr.",2079,0,1 - 0,0,,"Krüger,Detlef",1806,34
6,7,35,,"Michel,Jean-Claude",1796,0,0 - 1,0,,"Edoecs,Joseph",2057,7
7,8,8,,"Issler,Christian",1992,0,1 - 0,0,,"De Bruijn,Tjerk-Peter",1729,36
8,9,37,,"Becker,Ralph",1709,0,0 - 1,0,,"Warsitz,Hubert,Dr.",1977,9
9,10,10,,"Oelmann,Henry",1958,0,1 - 0,0,,"Britschgi,Carmen",1682,38
10,11,39,,"Heymann,Walter",1676,0,0 - 1,0,,"Mamoulakis, Harris",1940,11
11,12,12,,"Wilhelm,Albert",1930,0,1 - 0,0,,"Mendow,Wolfgang",1654,40
12,13,41,,"Mencke,Hans-Jürgen",1652,0,0 - 1,0,,"Wiesmann,Dominique",1925,13
13,14,14,,"Meyer,Thomas",1923,0,1 - 0,0,,"Baumann,Bettina",1649,42
14,15,43,,"Jacobs,Paul",1642,0,½ - ½,0,,"Ludin,Hubert",1916,15
15,16,16,,"Hahmann,Markus",1913,0,1 - 0,0,,"Laeser,Didier",1620,44
16,17,45,,"Kandler,Christoph",1594,0,0 - 1,0,,"Arndt,Olaf",1911,17
17,18,18,,"Nielsen,Michael",1908,0,1 - 0,0,,"Externbrink,Uwe",1573,46
18,19,47,,"Marocsik,Ferenc",1571,0,0 - 1,0,,"Bajec,Tomaz",1885,19
19,20,20,,"Mrdja, Bozidar",1883,0,1 - 0,0,,"Bakker,John",1566,48
20,21,49,,"Krüger,Antje-Christine",1545,0,0 - 1,0,,"Philipp,Hans-Joachim",1883,21
21,22,22,,"Morgenstern,Martin",1882,0,1 - 0,0,,"Hebenstreit,Heinz",1521,50
22,23,51,,"Dockx,Michel",1519,0,0 - 1,0,,"Hälsig,Günter,Dr.",1880,23
23,24,24,,"Synnestvedt,Jan",1848,0,+ - -,0,,"Hüttinger,Siegfried",1510,52
24,25,53,,"Brown, Stephen",1495,0,0 - 1,0,,"Tabin,Rene",1847,25
25,26,26,,"Schreyer,Klaus",1842,0,0 - 1,0,,"Nygaard,Trond",1490,54
26,27,55,,"Visschedijk,Paul",1477,0,0 - 1,0,,"Giebel,Christine",1840,27
27,28,28,,"Moje,Hans-Jürgen",1839,0,1 - 0,0,,"Rochat,Alois",0,56
