,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,"Colsen,Manuel",1597,0,0 - 1,0,,"Proudfoot,Andy",1558,12
1,2,13,,"Fernandez,Thomas",1538,0,½ - ½,0,,"Otten,Arnold,Prof. Dr.",1590,2
2,3,3,,"Schnücker,Marcel",1590,0,1 - 0,0,,"Klyszcz,Manfred",1536,14
3,4,15,,"Auer,Maximilian",1528,0,0 - 1,0,,"Externbrink,Uwe",1585,4
4,5,5,,"Krause,Marianne",1583,0,1 - 0,0,,"Pletsch,Katharina",1525,16
5,6,17,,"Skibbe, Peter",1515,0,0 - 1,0,,"Eggers,Heiko",1581,6
6,7,7,,"Navarro,David",1576,0,1 - 0,0,,"Ashworth,Steven M",1507,18
7,8,19,,"Lietz,Helmuth",1500,0,0 - 1,0,,"Bakker,John",1574,8
8,9,9,,"Keller,Anika",1572,0,1 - 0,0,,"Petry,Joachim",1484,20
9,10,21,,"Visschedijk, Paul",1483,0,½ - ½,0,,"Bonrath,Werner,Dr.",1564,10
10,11,11,,"Krüger,Antje-Christine",1560,0,1 - 0,0,,"Godthelp,Tom",1434,22
