,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,"Boyens,Birger",1978,0,0 - 1,0,,"Bergakker,Steef",1891,12
1,2,13,,"Moser,Guido",1887,0,1 - 0,0,,"Stein,Carsten",1971,2
2,3,3,,"Link,Klaus",1969,0,1 - 0,0,,"Kellenberger,Joachim",1861,14
3,4,15,,"Hilbenz,Guntram,Dr.",1857,0,½ - ½,0,,"Huber,Guenther",1967,4
4,5,5,,"Hartmann,Wolfgang,Dr.",1957,0,1 - 0,0,,"Moje,Hans-Jürgen",1839,16
5,6,17,,"Pazdzior,Johann",1835,0,0 - 1,0,,"Förster,Jürgen",1955,6
6,7,7,,"Scheffner,Jarno",1952,0,1 - 0,0,,"Vossen,Harald",1833,18
7,8,19,,"Visschedijk,Theo",1831,0,½ - ½,0,WFM,"Ungure,Liga",1941,8
8,9,9,,"Frühauf,Norbert",1922,0,1 - 0,0,,"Knutti, Beat",1829,20
9,10,21,,"Köppl,Andreas",1802,0,0 - 1,0,,"Ritter,Uwe",1907,10
10,11,11,,"Hälsig,Günter,Dr.",1894,0,+ - -,0,,"Roser, Ludwig",1801,22
