,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,,"Theuer,Carsten",1799,0,½ - ½,0,,"Schramek,Kurt",1687,23
1,2,24,,"Britschgi,Carmen",1682,0,1 - 0,0,,"Michel,Jean-Claude",1796,2
2,3,3,,"Krisin,Joachim",1784,0,1 - 0,0,,"Heymann,Walter",1676,25
3,4,26,,"Tkac,Miroslav",1676,0,½ - ½,0,,"Chaney,Ari",1779,4
4,5,5,,"Sundman,Gunnar",1777,0,½ - ½,0,,"Catalano,Enzo",1675,27
5,6,28,,"Stoffregen,Guenter",1674,0,½ - ½,0,,"Winter,Kevin",1773,6
6,7,7,,"Auschkalnis,Reinhard",1770,0,½ - ½,0,,"Schmitz,Paul",1672,29
7,8,30,,"Engau,Fritz",1670,0,½ - ½,0,,"Schoch,Heinz",1764,8
8,9,9,,"Roehrig,Uwe",1757,0,1 - 0,0,,"Mendow,Wolfgang",1654,31
9,10,32,,"Mencke,Hans-Jürgen",1652,0,0 - 1,0,,"Borries,Barbara",1749,10
10,11,11,,"Dorn,Hans-Jürgen",1745,0,½ - ½,0,,"Kaltschmidt,Andreas",1651,33
11,12,34,,"Baumann, Bettina",1649,0,0 - 1,0,,"Bilgen,Erwin",1732,12
12,13,13,,"Klaiber,Georg",1726,0,1 - 0,0,,"Fritzsche,Jürgen,Dr.",1645,35
13,14,36,,"Jacobs,Paul",1642,0,1 - 0,0,,"Lachausse,Bruno",1726,14
14,15,15,,"Stronk,Klaus",1726,0,1 - 0,0,,"Poppe,Wolfgang",1641,37
15,16,38,,"Heymann,Marianne",1639,0,0 - 1,0,,"Plitzner,Hans Joachim",1720,16
16,17,17,,"Becker,Ralph",1709,0,1 - 0,0,,"Gerlach,Andreas,Dr.",1631,39
17,18,40,,"Krause,Helmut",1627,0,0 - 1,0,,"Bekkesletten,Cato",1708,18
18,19,19,,"Steiner,Kurt",1702,0,1 - 0,0,,"Laeser,Didier",1620,41
19,20,42,,"Herzberger, Thomas",1617,0,½ - ½,0,,"Lammens,Ed",1700,20
20,21,21,,"Schilling,Hans",1697,0,- - +,0,,"Gilbert,David J",1615,43
21,22,44,,"Bernauer,Bernhard,Dr.",1607,0,½ - ½,0,,"Bauer,Dieter",1695,22
